alternative,value,rank,size,iteration,custom_id,alternative_of_interest,starting_id,type,n_alternatives
6,0.23611111111111108,6,139,40,6,False,2,UM10,7
5,0.22222222222222224,7,139,40,7,False,2,UM10,7
0,0.861111111111111,1,149,50,1,False,2,UM10,7
2,0.7777777777777778,2,149,50,2,True,2,UM10,7
4,0.4166666666666667,3,149,50,3,False,2,UM10,7
3,0.4166666666666667,3,149,50,4,False,2,UM10,7
1,0.3194444444444445,5,149,50,5,False,2,UM10,7
6,0.23611111111111108,6,149,50,6,False,2,UM10,7
5,0.22222222222222224,7,149,50,7,False,2,UM10,7
0,0.861111111111111,1,159,60,1,False,2,UM10,7
2,0.8333333333333334,2,159,60,2,True,2,UM10,7
4,0.4166666666666667,3,159,60,3,False,2,UM10,7
3,0.4166666666666667,3,159,60,4,False,2,UM10,7
1,0.3194444444444445,5,159,60,5,False,2,UM10,7
6,0.23611111111111108,6,159,60,6,False,2,UM10,7
5,0.22222222222222224,7,159,60,7,False,2,UM10,7
0,0.861111111111111,1,169,70,1,False,2,UM10,7
2,0.8333333333333334,2,169,70,2,True,2,UM10,7
4,0.4166666666666667,3,169,70,3,False,2,UM10,7
3,0.4166666666666667,3,169,70,4,False,2,UM10,7
1,0.3194444444444445,5,169,70,5,False,2,UM10,7
6,0.23611111111111108,6,169,70,6,False,2,UM10,7
5,0.22222222222222224,7,169,70,7,False,2,UM10,7
2,0.875,1,179,80,2,True,2,UM10,7
0,0.861111111111111,2,179,80,1,False,2,UM10,7
4,0.4166666666666667,3,179,80,3,False,2,UM10,7
3,0.4166666666666667,3,179,80,4,False,2,UM10,7
1,0.3194444444444445,5,179,80,5,False,2,UM10,7
6,0.23611111111111108,6,179,80,6,False,2,UM10,7
5,0.22222222222222224,7,179,80,7,False,2,UM10,7
2,0.9166666666666666,1,189,90,2,True,2,UM10,7
0,0.861111111111111,2,189,90,1,False,2,UM10,7
4,0.4166666666666667,3,189,90,3,False,2,UM10,7
3,0.4166666666666667,3,189,90,4,False,2,UM10,7
1,0.3194444444444445,5,189,90,5,False,2,UM10,7
6,0.23611111111111108,6,189,90,6,False,2,UM10,7
5,0.22222222222222224,7,189,90,7,False,2,UM10,7
2,0.9722222222222223,1,199,100,2,True,2,UM10,7
0,0.861111111111111,2,199,100,1,False,2,UM10,7
4,0.4166666666666667,3,199,100,3,False,2,UM10,7
3,0.4166666666666667,3,199,100,4,False,2,UM10,7
1,0.3194444444444445,5,199,100,5,False,2,UM10,7
6,0.23611111111111108,6,199,100,6,False,2,UM10,7
5,0.22222222222222224,7,199,100,7,False,2,UM10,7
2,0.9444444444444445,1,100,0,1,False,2,UM10,7
0,0.7777777777777778,2,100,0,2,True,2,UM10,7
1,0.6944444444444445,3,100,0,3,False,2,UM10,7
3,0.5833333333333334,4,100,0,4,False,2,UM10,7
6,0.48611111111111116,5,100,0,5,False,2,UM10,7
5,0.4861111111111111,6,100,0,6,False,2,UM10,7
4,0.3888888888888889,7,100,0,7,False,2,UM10,7
2,0.875,1,109,10,1,False,2,UM10,7
0,0.7916666666666666,2,109,10,2,True,2,UM10,7
1,0.638888888888889,3,109,10,3,False,2,UM10,7
3,0.5138888888888888,4,109,10,4,False,2,UM10,7
6,0.5,5,109,10,5,False,2,UM10,7
5,0.4444444444444444,6,109,10,6,False,2,UM10,7
4,0.36111111111111116,7,109,10,7,False,2,UM10,7
0,0.875,1,119,20,2,True,2,UM10,7
2,0.7361111111111112,2,119,20,1,False,2,UM10,7
1,0.5833333333333334,3,119,20,3,False,2,UM10,7
6,0.5,4,119,20,5,False,2,UM10,7
5,0.40277777777777773,5,119,20,6,False,2,UM10,7
4,0.3888888888888889,6,119,20,7,False,2,UM10,7
3,0.375,7,119,20,4,False,2,UM10,7
0,0.9444444444444445,1,129,30,2,True,2,UM10,7
2,0.7222222222222223,2,129,30,1,False,2,UM10,7
1,0.5,3,129,30,3,False,2,UM10,7
6,0.47222222222222227,4,129,30,5,False,2,UM10,7
4,0.3888888888888889,5,129,30,7,False,2,UM10,7
5,0.375,6,129,30,6,False,2,UM10,7
3,0.3611111111111111,7,129,30,4,False,2,UM10,7
0,0.9722222222222223,1,139,40,2,True,2,UM10,7
2,0.7222222222222223,2,139,40,1,False,2,UM10,7
6,0.4444444444444445,3,139,40,5,False,2,UM10,7
1,0.4166666666666667,4,139,40,3,False,2,UM10,7
4,0.3888888888888889,5,139,40,7,False,2,UM10,7
3,0.3611111111111111,6,139,40,4,False,2,UM10,7
5,0.34722222222222227,7,139,40,6,False,2,UM10,7
0,1.0,1,149,50,2,True,2,UM10,7
2,0.6944444444444445,2,149,50,1,False,2,UM10,7
6,0.4444444444444445,3,149,50,5,False,2,UM10,7
4,0.3888888888888889,4,149,50,7,False,2,UM10,7
1,0.3888888888888889,4,149,50,3,False,2,UM10,7
3,0.3333333333333333,6,149,50,4,False,2,UM10,7
5,0.3194444444444444,7,149,50,6,False,2,UM10,7
0,1.0,1,159,60,2,True,2,UM10,7
2,0.6527777777777778,2,159,60,1,False,2,UM10,7
